params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time
"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7129505714086847,0.022410252321560707,1,5.855886777242024,0.5880602694979173
"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 400, 'min_child_samples': 40, 'max_depth': 12, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7001733511450308,0.02606158547980497,2,14.315682252248129,1.253787800532031
"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 400, 'min_child_samples': 80, 'max_depth': 12, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.6993793785299399,0.02541372200364196,3,12.193475166956583,0.4368124589682108
"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'num_leaves': 63, 'n_estimators': 200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.6975956890795848,0.02805644808928737,4,9.992443323135376,1.725576810968645
"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 600, 'min_child_samples': 40, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.6903867646361143,0.026335948648624975,5,17.90227683385213,1.30920348223988
"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 400, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6896378226891652,0.02444008248653362,6,10.94733730951945,0.6177896318805779
"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 12, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.6799908223439131,0.034007037559979525,7,11.96041989326477,1.2034539284410486
"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 63, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.6791795155591783,0.03477622725365195,8,12.539477586746216,1.2173846802366544
"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 600, 'min_child_samples': 80, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6707845440359749,0.03253458409540104,9,14.41969633102417,0.2695912832128789
"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 31, 'n_estimators': 600, 'min_child_samples': 80, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.6707385346573744,0.03544147572264729,10,23.83697779973348,3.465498284836294
"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 400, 'min_child_samples': 20, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6658046694688509,0.028180731221866238,11,13.025055964787802,1.0148741562977412
"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 31, 'n_estimators': 600, 'min_child_samples': 80, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6613866873130032,0.036978476116841574,12,23.707397937774658,1.4879150755529007
