feature,importance_gain,importance_split,importance_gain_pct
EEG_Fpz_Cz_delta,1393372.118282318,1257,22.408937513490915
EOG_horizontal_beta,1292900.910369873,1124,20.793107118671177
EEG_Pz_Oz_delta,954184.6529159546,1403,15.345695513044044
EOG_horizontal_range,501348.90466308594,524,8.062954705094715
EOG_horizontal_alpha,381213.2098236084,638,6.130869769940155
EOG_horizontal_theta,216236.05546569824,709,3.47762108306576
EEG_Pz_Oz_beta,182460.09217453003,1013,2.9344184160116775
EOG_horizontal_delta,147121.40855407715,508,2.3660832651433137
EOG_horizontal_max,146642.465177536,255,2.3583806478334157
EEG_Fpz_Cz_beta,118947.36337852478,672,1.912973568489184
EOG_horizontal_mean,93392.2811717987,486,1.5019834009604993
EEG_Fpz_Cz_theta,93156.18458557129,607,1.4981863724578472
EEG_Pz_Oz_alpha,91360.534324646,746,1.469307787932442
EEG_Pz_Oz_theta,72392.97386360168,534,1.1642615827027327
EEG_Fpz_Cz_rms,72332.86736679077,350,1.1632949186554782
EOG_horizontal_rms,68498.08214759827,186,1.1016219016437139
EEG_Fpz_Cz_std,61311.66653060913,271,0.9860462155839073
EEG_Fpz_Cz_alpha,57291.1984834671,493,0.9213869504376687
EOG_horizontal_std,49067.89422798157,329,0.7891354802110611
EEG_Pz_Oz_mean,47655.56059265137,444,0.7664215936856645
EOG_horizontal_min,27426.792295455933,165,0.4410919858953556
EEG_Fpz_Cz_mean,26763.057119369507,278,0.43041745043474794
EEG_Pz_Oz_range,26564.36445236206,115,0.42722197127958333
EEG_Fpz_Cz_min,23354.803835868835,207,0.3756041425911343
EEG_Pz_Oz_max,17405.23366165161,119,0.27992005036850687
EEG_Pz_Oz_std,17262.3900680542,175,0.2776227651558008
EEG_Fpz_Cz_range,14215.794250488281,131,0.22862582140407814
EEG_Pz_Oz_rms,8876.12571144104,95,0.14275048554493272
EEG_Pz_Oz_min,8223.683490753174,80,0.13225756928607924
EEG_Fpz_Cz_max,6951.643165588379,86,0.11179995298441375
